task_id,task_name,episode_idx,success,steps,max_steps
0,pick up the alphabet soup and place it in the basket,0,True,142,290
0,pick up the alphabet soup and place it in the basket,1,True,154,290
0,pick up the alphabet soup and place it in the basket,2,True,147,290
0,pick up the alphabet soup and place it in the basket,3,True,152,290
0,pick up the alphabet soup and place it in the basket,4,True,143,290
0,pick up the alphabet soup and place it in the basket,5,True,270,290
0,pick up the alphabet soup and place it in the basket,6,True,156,290
0,pick up the alphabet soup and place it in the basket,7,True,142,290
0,pick up the alphabet soup and place it in the basket,8,True,155,290
0,pick up the alphabet soup and place it in the basket,9,True,148,290
0,pick up the alphabet soup and place it in the basket,10,True,146,290
0,pick up the alphabet soup and place it in the basket,11,True,171,290
0,pick up the alphabet soup and place it in the basket,12,True,232,290
0,pick up the alphabet soup and place it in the basket,13,True,158,290
0,pick up the alphabet soup and place it in the basket,14,True,147,290
0,pick up the alphabet soup and place it in the basket,15,True,143,290
0,pick up the alphabet soup and place it in the basket,16,True,149,290
0,pick up the alphabet soup and place it in the basket,17,True,149,290
0,pick up the alphabet soup and place it in the basket,18,True,156,290
0,pick up the alphabet soup and place it in the basket,19,True,170,290
1,pick up the cream cheese and place it in the basket,0,True,134,290
1,pick up the cream cheese and place it in the basket,1,True,139,290
1,pick up the cream cheese and place it in the basket,2,True,130,290
1,pick up the cream cheese and place it in the basket,3,True,136,290
1,pick up the cream cheese and place it in the basket,4,True,129,290
1,pick up the cream cheese and place it in the basket,5,True,153,290
1,pick up the cream cheese and place it in the basket,6,True,131,290
1,pick up the cream cheese and place it in the basket,7,True,183,290
1,pick up the cream cheese and place it in the basket,8,True,231,290
1,pick up the cream cheese and place it in the basket,9,True,130,290
1,pick up the cream cheese and place it in the basket,10,True,149,290
1,pick up the cream cheese and place it in the basket,11,True,132,290
1,pick up the cream cheese and place it in the basket,12,True,144,290
1,pick up the cream cheese and place it in the basket,13,True,131,290
1,pick up the cream cheese and place it in the basket,14,True,128,290
1,pick up the cream cheese and place it in the basket,15,True,133,290
1,pick up the cream cheese and place it in the basket,16,True,138,290
1,pick up the cream cheese and place it in the basket,17,True,133,290
1,pick up the cream cheese and place it in the basket,18,True,130,290
1,pick up the cream cheese and place it in the basket,19,True,134,290
2,pick up the salad dressing and place it in the basket,0,True,123,290
2,pick up the salad dressing and place it in the basket,1,True,129,290
2,pick up the salad dressing and place it in the basket,2,True,117,290
2,pick up the salad dressing and place it in the basket,3,True,121,290
2,pick up the salad dressing and place it in the basket,4,True,115,290
2,pick up the salad dressing and place it in the basket,5,True,123,290
2,pick up the salad dressing and place it in the basket,6,True,118,290
2,pick up the salad dressing and place it in the basket,7,True,122,290
2,pick up the salad dressing and place it in the basket,8,True,126,290
2,pick up the salad dressing and place it in the basket,9,True,127,290
2,pick up the salad dressing and place it in the basket,10,True,122,290
2,pick up the salad dressing and place it in the basket,11,True,127,290
2,pick up the salad dressing and place it in the basket,12,True,127,290
2,pick up the salad dressing and place it in the basket,13,True,121,290
2,pick up the salad dressing and place it in the basket,14,True,128,290
2,pick up the salad dressing and place it in the basket,15,False,290,290
2,pick up the salad dressing and place it in the basket,16,True,130,290
2,pick up the salad dressing and place it in the basket,17,True,122,290
2,pick up the salad dressing and place it in the basket,18,True,174,290
2,pick up the salad dressing and place it in the basket,19,True,129,290
3,pick up the bbq sauce and place it in the basket,0,True,130,290
3,pick up the bbq sauce and place it in the basket,1,True,175,290
3,pick up the bbq sauce and place it in the basket,2,True,135,290
3,pick up the bbq sauce and place it in the basket,3,True,154,290
3,pick up the bbq sauce and place it in the basket,4,True,172,290
3,pick up the bbq sauce and place it in the basket,5,True,124,290
3,pick up the bbq sauce and place it in the basket,6,True,184,290
3,pick up the bbq sauce and place it in the basket,7,True,130,290
3,pick up the bbq sauce and place it in the basket,8,True,178,290
3,pick up the bbq sauce and place it in the basket,9,True,139,290
3,pick up the bbq sauce and place it in the basket,10,True,135,290
3,pick up the bbq sauce and place it in the basket,11,True,140,290
3,pick up the bbq sauce and place it in the basket,12,True,135,290
3,pick up the bbq sauce and place it in the basket,13,True,131,290
3,pick up the bbq sauce and place it in the basket,14,True,131,290
3,pick up the bbq sauce and place it in the basket,15,True,133,290
3,pick up the bbq sauce and place it in the basket,16,True,129,290
3,pick up the bbq sauce and place it in the basket,17,True,136,290
3,pick up the bbq sauce and place it in the basket,18,True,200,290
3,pick up the bbq sauce and place it in the basket,19,True,142,290
4,pick up the ketchup and place it in the basket,0,True,148,290
4,pick up the ketchup and place it in the basket,1,True,186,290
4,pick up the ketchup and place it in the basket,2,True,148,290
4,pick up the ketchup and place it in the basket,3,True,155,290
4,pick up the ketchup and place it in the basket,4,True,154,290
4,pick up the ketchup and place it in the basket,5,True,137,290
4,pick up the ketchup and place it in the basket,6,True,146,290
4,pick up the ketchup and place it in the basket,7,True,153,290
4,pick up the ketchup and place it in the basket,8,True,148,290
4,pick up the ketchup and place it in the basket,9,True,148,290
4,pick up the ketchup and place it in the basket,10,True,145,290
4,pick up the ketchup and place it in the basket,11,True,140,290
4,pick up the ketchup and place it in the basket,12,True,146,290
4,pick up the ketchup and place it in the basket,13,True,144,290
4,pick up the ketchup and place it in the basket,14,True,150,290
4,pick up the ketchup and place it in the basket,15,True,149,290
4,pick up the ketchup and place it in the basket,16,True,143,290
4,pick up the ketchup and place it in the basket,17,True,155,290
4,pick up the ketchup and place it in the basket,18,True,147,290
4,pick up the ketchup and place it in the basket,19,True,151,290
5,pick up the tomato sauce and place it in the basket,0,False,290,290
5,pick up the tomato sauce and place it in the basket,1,True,128,290
5,pick up the tomato sauce and place it in the basket,2,True,145,290
5,pick up the tomato sauce and place it in the basket,3,True,190,290
5,pick up the tomato sauce and place it in the basket,4,True,132,290
5,pick up the tomato sauce and place it in the basket,5,True,143,290
5,pick up the tomato sauce and place it in the basket,6,True,133,290
5,pick up the tomato sauce and place it in the basket,7,True,128,290
5,pick up the tomato sauce and place it in the basket,8,True,137,290
5,pick up the tomato sauce and place it in the basket,9,True,157,290
5,pick up the tomato sauce and place it in the basket,10,False,290,290
5,pick up the tomato sauce and place it in the basket,11,True,125,290
5,pick up the tomato sauce and place it in the basket,12,True,138,290
5,pick up the tomato sauce and place it in the basket,13,True,164,290
5,pick up the tomato sauce and place it in the basket,14,True,138,290
5,pick up the tomato sauce and place it in the basket,15,True,130,290
5,pick up the tomato sauce and place it in the basket,16,True,134,290
5,pick up the tomato sauce and place it in the basket,17,True,152,290
5,pick up the tomato sauce and place it in the basket,18,True,132,290
5,pick up the tomato sauce and place it in the basket,19,True,139,290
6,pick up the butter and place it in the basket,0,True,218,290
6,pick up the butter and place it in the basket,1,True,159,290
6,pick up the butter and place it in the basket,2,True,163,290
6,pick up the butter and place it in the basket,3,True,153,290
6,pick up the butter and place it in the basket,4,True,146,290
6,pick up the butter and place it in the basket,5,True,150,290
6,pick up the butter and place it in the basket,6,True,151,290
6,pick up the butter and place it in the basket,7,True,158,290
6,pick up the butter and place it in the basket,8,True,154,290
6,pick up the butter and place it in the basket,9,True,208,290
6,pick up the butter and place it in the basket,10,True,154,290
6,pick up the butter and place it in the basket,11,True,159,290
6,pick up the butter and place it in the basket,12,True,152,290
6,pick up the butter and place it in the basket,13,True,150,290
6,pick up the butter and place it in the basket,14,True,164,290
6,pick up the butter and place it in the basket,15,True,153,290
6,pick up the butter and place it in the basket,16,True,159,290
6,pick up the butter and place it in the basket,17,True,153,290
